Getting pipeline trace for job 99421...
$ go test ./internal/checkout step 1
$ go test ./internal/checkout step 2
$ go test ./internal/checkout step 3
$ go test ./internal/checkout step 4
$ go test ./internal/checkout step 5
$ go test ./internal/checkout step 6
$ go test ./internal/checkout step 7
$ go test ./internal/checkout step 8
$ go test ./internal/checkout step 9
$ go test ./internal/checkout step 10
$ go test ./internal/checkout step 11
$ go test ./internal/checkout step 12
$ go test ./internal/checkout step 13
$ go test ./internal/checkout step 14
$ go test ./internal/checkout step 15
$ go test ./internal/checkout step 16
$ go test ./internal/checkout step 17
$ go test ./internal/checkout step 18
$ go test ./internal/checkout step 19
$ go test ./internal/checkout step 20
$ go test ./internal/checkout step 21
$ go test ./internal/checkout step 22
$ go test ./internal/checkout step 23
$ go test ./internal/checkout step 24
$ go test ./internal/checkout step 25
$ go test ./internal/checkout step 26
$ go test ./internal/checkout step 27
$ go test ./internal/checkout step 28
$ go test ./internal/checkout step 29
$ go test ./internal/checkout step 30
$ go test ./internal/checkout step 31
$ go test ./internal/checkout step 32
$ go test ./internal/checkout step 33
$ go test ./internal/checkout step 34
$ go test ./internal/checkout step 35
$ go test ./internal/checkout step 36
$ go test ./internal/checkout step 37
$ go test ./internal/checkout step 38
$ go test ./internal/checkout step 39
$ go test ./internal/checkout step 40
$ go test ./internal/checkout step 41
$ go test ./internal/checkout step 42
$ go test ./internal/checkout step 43
$ go test ./internal/checkout step 44
$ go test ./internal/checkout step 45
$ go test ./internal/checkout step 46
$ go test ./internal/checkout step 47
$ go test ./internal/checkout step 48
$ go test ./internal/checkout step 49
$ go test ./internal/checkout step 50
--- FAIL: TestCheckoutRetriesGateway (0.04s)
    api_test.go:142: expected 200, got 503
FAIL	chakrit/shop/internal/checkout	0.12s
ERROR: Job failed: exit code 1
