NAMESPACE       NAME                                      READY   STATUS             RESTARTS      AGE     IP             NODE
default         api-6f87d4b77d-2p9xk                      2/2     Running            0             3d4h    10.42.1.12     ip-10-0-1-10
default         api-6f87d4b77d-6q4wb                      2/2     Running            1 (2d ago)    3d4h    10.42.2.31     ip-10-0-2-22
default         api-6f87d4b77d-lqxmk                      1/2     CrashLoopBackOff   17 (4m ago)   3d4h    10.42.3.18     ip-10-0-3-08
default         worker-5f9f57fb8d-8gq2v                   1/1     Running            0             21h     10.42.1.44     ip-10-0-1-10
default         worker-5f9f57fb8d-bm6dp                   1/1     Running            0             21h     10.42.2.49     ip-10-0-2-22
payments        ledger-6c47cc7bd7-rs5gb                   1/1     Running            0             14h     10.42.4.91     ip-10-0-4-19
payments        ledger-6c47cc7bd7-vtx2p                   1/1     Running            0             14h     10.42.5.34     ip-10-0-5-12
payments        reconciler-78d4c8cbb9-pst6f               0/1     ImagePullBackOff   6             19m     10.42.5.71     ip-10-0-5-12
search          indexer-0                                 1/1     Running            0             7d      10.42.6.20     ip-10-0-6-04
search          indexer-1                                 1/1     Running            0             7d      10.42.7.21     ip-10-0-7-17
search          indexer-2                                 1/1     Running            0             7d      10.42.8.22     ip-10-0-8-09
observability   prometheus-server-66f76cf9cc-kz4sq        2/2     Running            0             18d     10.42.2.3      ip-10-0-2-22
observability   grafana-5bbd47f7f5-vd22m                  1/1     Running            0             18d     10.42.1.5      ip-10-0-1-10
observability   loki-0                                    1/1     Running            0             18d     10.42.3.6      ip-10-0-3-08
kube-system     coredns-6f6b679f8f-4pz9p                  1/1     Running            0             22d     10.42.0.11     ip-10-0-0-01
kube-system     coredns-6f6b679f8f-gm2mt                  1/1     Running            0             22d     10.42.0.12     ip-10-0-0-02
kube-system     metrics-server-7d75c7c9b8-x5nkg           1/1     Running            0             22d     10.42.0.22     ip-10-0-0-01
jobs            export-28912640-rbhr9                     0/1     Completed          0             12h     10.42.9.31     ip-10-0-9-13
jobs            export-28912641-hj4mz                     0/1     Completed          0             11h     10.42.9.32     ip-10-0-9-13
jobs            export-28912642-qgh4t                     0/1     Completed          0             10h     10.42.9.33     ip-10-0-9-13

