
> demo@1.0.0 build
> vite build

transformed module 1
transformed module 2
transformed module 3
transformed module 4
transformed module 5
transformed module 6
transformed module 7
transformed module 8
transformed module 9
transformed module 10
transformed module 11
transformed module 12
transformed module 13
transformed module 14
transformed module 15
transformed module 16
transformed module 17
transformed module 18
transformed module 19
transformed module 20
transformed module 21
transformed module 22
transformed module 23
transformed module 24
transformed module 25
transformed module 26
transformed module 27
transformed module 28
transformed module 29
transformed module 30
transformed module 31
transformed module 32
transformed module 33
transformed module 34
transformed module 35
transformed module 36
transformed module 37
transformed module 38
transformed module 39
transformed module 40
transformed module 41
transformed module 42
transformed module 43
transformed module 44
transformed module 45
transformed module 46
transformed module 47
transformed module 48
transformed module 49
transformed module 50
build complete
